word,pronunciation,meaning,example,image_url,category,difficulty
まさか,まさか,"không thể ngờ, không",.,,,easy
うっかり,うっかり,"ngơ ngác, không để ý",.,,,easy
つい,つい,"vô ý, buột",.,,,easy
思わず,おもわず,không ngờ đến,.,,,easy
ほっと,ほっと,yên tâm,.,,,easy
いらいら,いらいら,"khó chịu, nóng giận",.,,,easy
のんびり,のんびり,tận hưởng,.,,,easy
実は,じつは,thực tế là,.,,,easy
読書,どくしょ,đọc viết,.,,,easy
演奏,えんそう,biểu diễn,.,,,easy
芸術,げいじゅつ,nghệ thuật,.,,,easy
検査,けんさ,kiểm tra,.,,,easy
血液,けつえき,máu,.,,,easy
治療,ちりょう,trị liệu,.,,,easy
症状,しょうじょう,triệu chứng,.,,,easy
予防,よぼう,dự phòng,.,,,easy
栄養,えいよう,dinh dưỡng,.,,,easy
手術,しゅじゅつ,phẫu thuật,.,,,easy
死亡,しぼう,tử vong,.,,,easy
命,いのち,sinh mạng,.,,,easy
一生,いっしょう,suốt đời,.,,,easy
誤解,ごかい,hiểu nhầm,.,,,easy
後悔,こうかい,hối hận,.,,,easy
訳,わけ,lý do,.,,,easy
態度,たいど,thái độ,.,,,easy
癖,くせ,thói quen,.,,,easy
礼儀,れいぎ,lễ nghĩa,.,,,easy
文句,もんく,phàn nàn,.,,,easy
表情,ひょうじょう,"biểu lộ, biểu thị",.,,,easy
鏡面,ひょうめん,bề mặt,.,,,easy
禁煙,きんえん,cấm hút thuốc,.,,,easy
禁止,きんし,cấm,.,,,easy
完成,かんせい,hoàn thành,.,,,easy
課題,かだい,chủ đề,.,,,easy
例外,れいがい,ngoại lệ,.,,,easy
基本,きほん,cơ bản,.,,,easy
記録,きろく,ghi âm,.,,,easy
状態,じょうたい,trạng thái,.,,,easy
出来事,できごと,sự kiện,.,,,easy
場面,ばめん,"khung cảnh, tình huống, hiện trường",.,,,easy
機会,きかい,cơ hội,.,,,easy
距離,きょり,khoảng cách,.,,,easy
提案,ていあん,đề xuất,.,,,easy
やり取り,やりとり,"trao đổi, làm việc",.,,,easy
知識,ちしき,kiến thức,.,,,easy
実力,じつりょく,thực lực,.,,,easy
手段,しゅだん,cách thức,.,,,easy
代表,だいひょう,đại biểu,.,,,easy
影響,えいきょう,ảnh hưởng,.,,,easy
効果,こうか,hiệu quả,.,,,easy
印象,いんしょう,ấn tượng,.,,,easy
印,しるし,"dấu, dấu hiệu",.,,,easy
合図,あいず,ám hiệu,.,,,easy
共通,きょうつう,chung,.,,,easy
協調,きょうちょう,nhấn mạnh,.,,,easy
省略,しょうりゃく,lược bớt,.,,,easy
挑戦,ちょうせん,thử thách,.,,,easy
やる気,やるき,động lực,.,,,easy
勇気,ゆうき,"dũng cảm, dũng khí",.,,,easy
資格,しかく,"bằng cấp, tư cách",.,,,easy
申請,しんせい,"đăng ký, ứng tuyển",.,,,easy
本人,ほんにん,người được nói đến,.,,,easy
契約,けいやく,hợp đồng,.,,,easy
証明,しょうめい,"chứng minh, bằng chứng",.,,,easy
変更,へんこう,thay đổi,.,,,easy
保存,ほぞん,bảo tồn,.,,,easy
保護,ほご,bảo vệ,.,,,easy
環境,かんきょう,môi trường,.,,,easy
資源,しげん,tài nguyên,.,,,easy
不足,ふそく,thiếu,.,,,easy
平均,へいきん,trung bình,.,,,easy
割合,わりあい,tỷ lệ,.,,,easy
商売,しょうばい,"kinh doanh, buôn bán",.,,,easy
商品,しょうひん,sản phẩm,.,,,easy
質,しつ,chất lượng,.,,,easy
型,かた,mẫu,.,,,easy
生産,せいさん,sản xuất,.,,,easy
消費,しょうひ,"tiêu dùng, tiêu thụ",.,,,easy
物価,ぶっか,"giá cả, vật giá",.,,,easy
倒産,とうさん,phá sản,.,,,easy
携帯,けいたい,mang theo,.,,,easy
現代,げんだい,hiện tại,.,,,easy
世紀,せいき,thế kỷ,.,,,easy
文化,ぶんか,văn hóa,.,,,easy
都市,とし,thành phố,.,,,easy
地方,ちほう,địa phương,.,,,easy
戦争,せんそう,chiến tranh,.,,,easy
平和,へいわ,hòa bình,.,,,easy
上る,のぼる,leo lên,.,,,easy
下る,くだる,đi xuống,.,,,easy
進む,すすむ,tiến lên,.,,,easy
進める,すすめる,làm cho tiến lên,.,,,easy
通る,とおる,"thông qua, được chấp nhận, đi qua",.,,,easy
通す,とおす,"xuyên qua, thông qua",.,,,easy
超える・越える,こえる,vượt qua,.,,,easy
過ぎる,すぎる,"quá, đi qua",.,,,easy
過ごす,すごす,sử dụng(thời gian),.,,,easy
移る,うつる,được chuyển,.,,,easy
移す,うつす,chuyển,.,,,easy
連れる,つれる,dẫn đi,.,,,easy
寄る,よる,"ghé sát, lại gần",.,,,easy
寄せる,よせる,ghé vào,.,,,easy
与える,あたえる,"trao, cung cấp",.,,,easy
得る,える,"đạt được, có được",.,,,easy
向く,むく,"hướng, đối diện",.,,,easy
向ける,むける,"hướng đến, quay",.,,,easy
勧める,すすめる,"rủ, mời, gợi ý",.,,,easy
薦める,すすめる,"giới thiệu, gợi ý",.,,,easy
任せる,まかせる,"tin tưởng, để cho ai đó làm gì",.,,,easy
守る,まもる,"giữ, tuân thủ, bảo vệ",.,,,easy
争う,あらそう,"gây gổ, tranh giành",.,,,easy
臨む,のぞむ,ước,.,,,easy
信じる,しんじる,tin tưởng,.,,,easy
通じる,つうじる,"hiểu, thông qua",.,,,easy
飽きる,あきる,"chán, ngấy",.,,,easy
思いつく,おもいつく,nghĩ về,.,,,easy
思いやる,おもいやる,"quan tâm, thông cảm",.,,,easy
熱中する,ねっちゅうする,nghiện,.,,,easy
暮らす,くらす,sống,.,,,easy
巻く,まく,"quấn, quàng",.,,,easy
結ぶ,むすぶ,"buộc, cột, nối",.,,,easy
済む,すむ,kết thúc,.,,,easy
済ませる・済ます,すませる・済ます,hoàn tất,.,,,easy
出来る,できる,"có thể, được xây dựng",.,,,easy
切れる,きれる,"cắt, hết hạn",.,,,easy
切らす,きらす,hết,.,,,easy
伝わる,つたわる,"được truyền đi, được trải ra, được giới thiệu",.,,,easy
伝える,つたえる,"truyền đi, giới thiệu",.,,,easy
続く,つづく,"tiếp tục, xảy ra, lặp lại, theo sau",.,,,easy
続ける,つづける,"tiếp tục, xảy ra liên tiếp",.,,,easy
つながる,つながる,"được kết nối, được mở rộng, thông qua",.,,,easy
つなぐ,つなぐ,"kết nối, tham gia",.,,,easy
つなげる,つなげる,"kết nối, làm chặt thêm",.,,,easy
伸びる,のびる,"lớn lên, tăng thêm, dài ra",.,,,easy
伸ばす,のばす,"nuôi dài, căng ra",.,,,easy
延びる,のびる,"bị trì hoãn, bị kéo dài",.,,,easy
延ばす,のばす,"trì hoãn, kéo dài",.,,,easy
重なる,かさなる,"xung đột, xếp chồng",.,,,easy
重ねる,かさねる,"chồng lên, tích trữ",.,,,easy
広がる,ひろがる,"mở rộng, bùng phát, lan tràn, trải dài",.,,,easy
広げる,ひろげる,"mở thêm, mở rộng, nới rộng, mở ra",.,,,easy
載る,のる,"vừa, được công bố",.,,,easy
載せる,のせる,"cho vào, cho lên, công bố",.,,,easy
そろう,そろう,"thu thập, được thu thập",.,,,easy
そろえる,そろえる,"gom lại, chuẩn bị sẵn sàng",.,,,easy
まとまる,まとまる,"được thống nhất, được tổ chức, được sắp xếp",.,,,easy
まとめる,まとめる,"tập hợp, sàng lọc, hợp nhất, tổ chức",.,,,easy
付く,つく,"dính, gắn, đạt được, đi cùng với",.,,,easy
付ける,つける,"gắn, thêm vào",.,,,easy
たまる,たまる,được tiết kiệm,.,,,easy
ためる,ためる,tiết kiệm,.,,,easy
交じる・混じる,まじる,"giao vào, lẫn vào",.,,,easy
交ざる・混ざる,まざる,được trộn lẫn,.,,,easy
交ぜる・混ぜる,まぜる,trộn vào,.,,,easy
解ける・溶ける,とける,"được giải quyết, nóng chảy",.,,,easy
解く・溶く,とく,"giải quyết, nóng chảy",.,,,easy
含む,ふくむ,"chứa, bao gồm",.,,,easy
含める,ふくめる,bao gồm,.,,,easy
抜ける,ぬける,"tháo, tuột",.,,,easy
抜く,ぬく,lấy ra,.,,,easy
現れる,あらわれる,"xuất hiện, được thẻ hiện",.,,,easy
現す,あらわす,"xuất hiện, hiện ra",.,,,easy
表れる,あらわれる,biểu hiện (trên mặt),.,,,easy
表す,あらわす,"biểu thị, biểu lộ, đại diện",.,,,easy
散る,ちる,"bị tàn, rụng",.,,,easy
散らす,ちらす,tàn,.,,,easy
明ける,あける,"(đêm) đến, (năm mới) bắt đầu, (mùa mưa) kết thúc",.,,,easy
差す,さす,"(mặt trời) chiếu sáng, mở (ô), nhỏ (thuốc mắt)",.,,,easy
パートナ,パートナー,đối tác,.,,,easy
リーダー,リーダー,lãnh đạo,.,,,easy
ボランティア,ボランティア,tình nguyện,.,,,easy
コミュニケーション,コミュニケーション,giao tiếp,.,,,easy
ユーモア,ユーモア,"hài hước, đùa",.,,,easy
ショック,ショック,"shock, choáng",.,,,easy
ストレス,ストレス,"căng thẳng, stress",.,,,easy
バランス,バランス,cân bằng,.,,,easy
レベル,レベル,"trình độ, level",.,,,easy
アップ,アップ,tăng lên,.,,,easy
ダウン,ダウン,giảm xuống,.,,,easy
プラス,プラス,"phép cộng, tác động tích cực",.,,,easy
マイナス,マイナス,"phép trừ, tác động tiêu cực",.,,,easy
イメージ,イメージ,hình ảnh,.,,,easy
コンテスト,コンテスト,cuộc thi,.,,,easy
マスコミ,マスコミ,thông tin truyền thông,.,,,easy
プライバシー,プライバシー,"cá nhân, riêng tư",.,,,easy
オフィス,オフィス,văn phòng,.,,,easy
ルール,ルール,luật lệ,.,,,easy
マナー,マナー,"kiểu, thói",.,,,easy
ミス,ミス,lỗi,.,,,easy
スケジュール,スケジュール,"lịch, kế hoạch",.,,,easy
タイトル,タイトル,tiêu đề,.,,,easy
テーマ,テーマ,chủ đề,.,,,easy
ストーリー,ストーリー,câu chuyện,.,,,easy
ヒット,ヒット,nổi tiếng,.,,,easy
ブランド,ブランド,nhãn hiệu,.,,,easy
レンタル,レンタル,thuê,.,,,easy
リサイクル,リサイクル,tái chế,.,,,easy
ラベル,ラベル,nhãn,.,,,easy
タイプ,タイプ,loại,.,,,easy
スタイル,スタイル,kiểu dáng,.,,,easy
セット,セット,"cài đặt, set",.,,,easy
ウイルス,ウイルス,virus,.,,,easy
ロボット,ロボット,robot,.,,,easy
エネルギー,エネルギー,năng lượng,.,,,easy
デジタル,デジタル,kỹ thuật số,.,,,easy
マイク,マイク,"microphone, ghi âm",.,,,easy
ブレーキ,ブレーキ,phanh,.,,,easy
ペンキ,ペンキ,sơn,.,,,easy
炊ける,たける,được nấu,.,,,easy
炊く,たく,nấu,.,,,easy
煮える,にえる,"được nấu, được ninh",.,,,easy
煮る,にる,"nấu, ninh, luộc",.,,,easy
炒める,いためる,rán,.,,,easy
焼ける,やける,"được nấu, được nướng",.,,,easy
焼く,やく,"nướng, nấu",.,,,easy
ゆでる,ゆでる,luộc,.,,,easy
揚げる,あげる,rán ngập,.,,,easy
蒸す,むす,hấp,.,,,easy
ぐっすり,ぐっすり,say,.,,,easy
きちんと,きちんと,ngay ngắn,.,,,easy
しっかり,しっかり,"kiên quyết, chắc chắn, đáng tin cậy",.,,,easy
はっきり,はっきり,rõ ràng,.,,,easy
じっと,じっと,"kiên nhẫn, chăm chú, chằm chằm",.,,,easy
そっと,そっと,"nhẹ nhàng, yên lặng",.,,,easy
別々に,べつべつに,riêng biệt,.,,,easy
それぞれ,それぞれ,"lần lượt, tương ứng",.,,,easy
互いに,たがいに,lẫn nhau,.,,,easy
直接,ちょくせつ,trực tiếp,.,,,easy
本当に,ほんとうに,"thật lòng, kỳ thực",.,,,easy
必ず,かならず,chắc chắn,.,,,easy
絶対に,ぜったいに,chắc chắn rồi,.,,,easy
特に,とくに,đặc biệt là,.,,,easy
ただ,ただ,chỉ,.,,,easy
少なくとも,すくなくとも,ít nhất,.,,,easy
決して,けっして,không bao giờ,.,,,easy
少しも,すこしも,một chút,.,,,easy
ちっとも,ちっとも,(không) tí gì,.,,,easy
全く,まったく,hoàn toàn (không),.,,,easy
とても,とても,rất,.,,,easy
どんなに,どんなに,"thế nào, bao nhiêu",.,,,easy
どうしても,どうしても,kiểu gì cũng,.,,,easy
まるで,まるで,như là,.,,,easy
一体,いったい,cái quái gì,.,,,easy
別に,べつに,(không) có gì,.,,,easy
たった,たった,chỉ,.,,,easy
ほんの,ほんの,một chút,.,,,easy
それで,それで,thế thì,.,,,easy
そこで,そこで,tiếp theo,.,,,easy
そのうえ,そのうえ,hơn nữa,.,,,easy
また,また,nữa,.,,,easy
または,または,hoặc,.,,,easy
それとも,それとも,hoặc,.,,,easy
つまり,つまり,nói cách khác,.,,,easy
